current_shirt_number,firstname,lastname,int_goals,int_caps,main_position,other_position,current_market_value,highest_market_value,highest_market_value_on,date_of_birth,place_of_birth,country_of_birth,height,citizenship,dominant_foot,current_club,joined_on,contract_expiring,last_extension,transfer_history,valuation
#23,Luis,Sinisterra,3,7,Left Winger,,€25.00m,€25.00m,"Jun 8, 2022","Jun 17, 1999",Santander de Quilichao,Colombia,172,Colombia,right,Leeds United,"Jul 7, 2022","Jun 30, 2027",unknown,"{'season': ['22/23', '18/19', '16/17'], 'transfer_date': ['Jul 7, 2022', 'Jul 8, 2018', 'Jul 1, 2016'], 'leaving_club': ['Feyenoord', 'Once Caldas', 'Onca Caldas U20'], 'joining_club': ['Leeds', 'Feyenoord', 'Once Caldas'], 'market_value': ['€25.00m', '€100Th.', '-'], 'fee': ['€25.00m', '€2.00m', '-']}","{'club': ['Once Caldas', 'Once Caldas', 'Feyenoord Rotterdam', 'Feyenoord Rotterdam', 'Feyenoord Rotterdam', 'Feyenoord Rotterdam', 'Feyenoord Rotterdam', 'Feyenoord Rotterdam', 'Feyenoord Rotterdam', 'Feyenoord Rotterdam', 'Feyenoord Rotterdam', 'Feyenoord Rotterdam', 'Feyenoord Rotterdam', 'Feyenoord Rotterdam', 'Feyenoord Rotterdam', 'Feyenoord Rotterdam'], 'market_value': ['Є100Th.', 'Є100Th.', 'Є1.00m', 'Є1.00m', 'Є1.00m', 'Є1.75m', 'Є3.00m', 'Є9.00m', 'Є11.00m', 'Є10.00m', 'Є10.00m', 'Є9.00m', 'Є11.00m', 'Є16.00m', 'Є18.00m', 'Є25.00m'], 'age': ['18', '18', '19', '19', '19', '20', '20', '20', '20', '20', '21', '21', '22', '22', '22', '22'], 'date': ['Mar 7', 'Jun 8', 'Oct 4', 'Dec 28', 'Jun 12', 'Sep 19', 'Dec 18', 'Feb 11', 'Mar 12', 'Apr 8', 'Oct 14', 'May 19', 'Oct 4', 'Jan 5', 'Mar 17', 'Jun 8'], 'year': ['2018', '2018', '2018', '2018', '2019', '2019', '2019', '2020', '2020', '2020', '2020', '2021', '2021', '2022', '2022', '2022']}"
#11,Jack,Harrison,0,2,Left Winger,,€28.00m,€28.00m,"Sep 15, 2022","Nov 20, 1996",Stoke-on-Trent,England,175,England,left,Leeds United,"Jul 2, 2021","Jun 30, 2024",unknown,"{'season': ['21/22', '20/21', '18/19', '17/18', '17/18', '17/18', '15/16', '15/16', '15/16', '13/14', '10/11', '03/04'], 'transfer_date': ['Jul 2, 2021', 'May 31, 2021', 'Jul 30, 2018', 'May 31, 2018', 'Jan 31, 2018', 'Jan 30, 2018', 'Jan 15, 2016', 'Jan 14, 2016', 'Aug 1, 2015', 'Jul 1, 2013', 'Jul 1, 2010', 'Jul 1, 2003'], 'leaving_club': ['Man City', 'Leeds', 'Man City', 'Middlesbrough', 'Man City', 'New York City', 'Chicago', 'Demon Deacons', 'Manhattan', 'Black Rock FC', 'Man Utd Youth', 'Liverpool Youth'], 'joining_club': ['Leeds', 'Man City', 'Leeds', 'Man City', 'Middlesbrough', 'Man City', 'New York City', 'Chicago', 'Demon Deacons', 'Manhattan', 'Black Rock FC', 'Man Utd Youth'], 'market_value': ['€15.00m', '€15.00m', '€3.50m', '€3.50m', '€1.75m', '€1.75m', '-', '-', '-', '-', '-', '-'], 'fee': ['€12.80m', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', '€4.00m', '?', 'draft', 'free transfer', 'free transfer', 'free transfer', 'free transfer']}","{'club': ['New York City FC', 'New York City FC', 'New York City FC', 'New York City FC', 'New York City FC', 'Middlesbrough FC', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Manchester City', 'Leeds United', 'Leeds United', 'Leeds United'], 'market_value': ['Є250Th.', 'Є150Th.', 'Є600Th.', 'Є850Th.', 'Є1.75m', 'Є3.50m', 'Є3.50m', 'Є4.00m', 'Є6.50m', 'Є5.20m', 'Є7.00m', 'Є9.00m', 'Є15.00m', 'Є15.00m', 'Є15.00m', 'Є18.00m', 'Є28.00m'], 'age': ['19', '19', '20', '20', '21', '21', '21', '22', '23', '23', '23', '24', '24', '24', '25', '25', '25'], 'date': ['Mar 1', 'May 30', 'Dec 15', 'May 24', 'Dec 5', 'Feb 27', 'Sep 24', 'Jun 13', 'Feb 27', 'Apr 8', 'Oct 13', 'Dec 17', 'Mar 18', 'Jun 8', 'Dec 23', 'Jun 15', 'Sep 15'], 'year': ['2016', '2016', '2016', '2017', '2017', '2018', '2018', '2019', '2020', '2020', '2020', '2020', '2021', '2021', '2021', '2022', '2022']}"
#7,Brenden,Aaronson,6,21,Attacking Midfield,,,€30.00m,"Sep 15, 2022","Oct 22, 2000","Medford, New Jersey",United States,178,United States,right,Leeds United,"Jul 1, 2022","Jun 30, 2027",unknown,"{'season': ['22/23', '20/21', '18/19', '18/19', '17/18', '17/18', '17/18'], 'transfer_date': ['Jul 1, 2022', 'Jan 1, 2021', 'Jan 1, 2019', 'Nov 30, 2018', 'Mar 16, 2018', 'Nov 30, 2017', 'Jul 13, 2017'], 'leaving_club': ['RB Salzburg', 'Philadelphia', 'Ph. Union Acad.', 'Bethlehem Steel', 'Ph. Union Acad.', 'Bethlehem Steel', 'Ph. Union Acad.'], 'joining_club': ['Leeds', 'RB Salzburg', 'Philadelphia', 'Ph. Union Acad.', 'Bethlehem Steel', 'Ph. Union Acad.', 'Bethlehem Steel'], 'market_value': ['€25.00m', '€10.00m', '€150Th.', '€150Th.', '-', '-', '-'], 'fee': ['€32.84m', '€12.70m', '-', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer']}","{'club': ['Bethlehem Steel FC', 'Bethlehem Steel FC', 'Philadelphia Union', 'Philadelphia Union', 'Philadelphia Union', 'Philadelphia Union', 'Philadelphia Union', 'Philadelphia Union', 'Philadelphia Union', 'Red Bull Salzburg', 'Red Bull Salzburg', 'Red Bull Salzburg', 'Red Bull Salzburg', 'Leeds United'], 'market_value': ['Є50Th.', 'Є150Th.', 'Є450Th.', 'Є800Th.', 'Є1.50m', 'Є1.30m', 'Є4.00m', 'Є8.00m', 'Є10.00m', 'Є10.00m', 'Є12.00m', 'Є20.00m', 'Є25.00m', 'Є30.00m'], 'age': ['17', '18', '18', '18', '19', '19', '19', '20', '20', '20', '21', '21', '21', '21'], 'date': ['Jul 11', 'Nov 15', 'Mar 20', 'May 27', 'Nov 30', 'Apr 8', 'Aug 26', 'Nov 13', 'Dec 18', 'Jun 2', 'Dec 16', 'Mar 11', 'May 27', 'Sep 15'], 'year': ['2018', '2018', '2019', '2019', '2019', '2020', '2020', '2020', '2020', '2021', '2021', '2022', '2022', '2022']}"
#43,Mateusz,Klich,2,41,Central Midfield,,€2.00m,€4.00m,"May 31, 2021","Jun 13, 1990",Tarnów,Poland,183,Poland,right,Leeds United,"Jul 1, 2017","Jun 30, 2024","Nov 9, 2019","{'season': ['17/18', '17/18', '17/18', '16/17', '14/15', '14/15', '13/14', '12/13', '12/13', '11/12', '08/09'], 'transfer_date': ['Jun 30, 2018', 'Jan 22, 2018', 'Jul 1, 2017', 'Aug 26, 2016', 'Jan 6, 2015', 'Jul 1, 2014', 'Jul 1, 2013', 'Jun 30, 2013', 'Jan 31, 2013', 'Jul 1, 2011', 'Jul 1, 2008'], 'leaving_club': ['FC Utrecht', 'Leeds', 'Twente FC', ""1.FC K'lautern"", 'VfL Wolfsburg', 'PEC Zwolle', 'VfL Wolfsburg', 'PEC Zwolle', 'VfL Wolfsburg', 'Cracovia', 'Cracovia U19'], 'joining_club': ['Leeds', 'FC Utrecht', 'Leeds', 'Twente FC', ""1.FC K'lautern"", 'VfL Wolfsburg', 'PEC Zwolle', 'VfL Wolfsburg', 'PEC Zwolle', 'VfL Wolfsburg', 'Cracovia'], 'market_value': ['€1.75m', '€2.00m', '€2.25m', '€500Th.', '€1.50m', '€2.00m', '€750Th.', '€750Th.', '€500Th.', '€1.50m', '-'], 'fee': ['End of loan', 'loan transfer', '€1.70m', '€50Th.', '€250Th.', '€750Th.', '€200Th.', 'End of loan', 'Loan fee:', '', '€1.50m', '-']}","{'club': ['Cracovia', 'Cracovia', 'Cracovia', 'Cracovia', 'Cracovia', 'VfL Wolfsburg', 'VfL Wolfsburg', 'VfL Wolfsburg', 'PEC Zwolle', 'PEC Zwolle', 'PEC Zwolle', 'VfL Wolfsburg', 'VfL Wolfsburg', '1.FC Kaiserslautern', '1.FC Kaiserslautern', '1.FC Kaiserslautern', '1.FC Kaiserslautern', '1.FC Kaiserslautern', 'Twente Enschede FC', 'Twente Enschede FC', 'Leeds United', 'FC Utrecht', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United'], 'market_value': ['Є100Th.', 'Є300Th.', 'Є375Th.', 'Є400Th.', 'Є1.50m', 'Є1.00m', 'Є600Th.', 'Є500Th.', 'Є750Th.', 'Є1.00m', 'Є2.00m', 'Є2.00m', 'Є1.50m', 'Є1.00m', 'Є800Th.', 'Є600Th.', 'Є600Th.', 'Є500Th.', 'Є1.25m', 'Є2.25m', 'Є2.00m', 'Є1.75m', 'Є2.00m', 'Є2.50m', 'Є3.50m', 'Є2.80m', 'Є3.50m', 'Є3.50m', 'Є4.00m', 'Є4.00m', 'Є3.00m', 'Є2.00m'], 'age': ['19', '19', '20', '20', '21', '21', '22', '22', '23', '23', '23', '24', '24', '24', '25', '25', '25', '26', '26', '26', '27', '27', '28', '29', '29', '29', '30', '30', '30', '31', '32', '32'], 'date': ['Sep 9', 'Apr 2', 'Aug 9', 'Apr 1', 'Jun 24', 'Jan 23', 'Jun 29', 'Jan 13', 'Jun 17', 'Sep 26', 'Feb 11', 'Jul 10', 'Nov 3', 'Jan 13', 'Jul 1', 'Oct 22', 'Feb 11', 'Jul 22', 'Jan 18', 'Jun 7', 'Sep 18', 'Jun 12', 'Feb 27', 'Jun 28', 'Feb 27', 'Apr 8', 'Oct 13', 'Mar 18', 'May 31', 'Dec 23', 'Jun 15', 'Sep 15'], 'year': ['2009', '2010', '2010', '2011', '2011', '2012', '2012', '2013', '2013', '2013', '2014', '2014', '2014', '2015', '2015', '2015', '2016', '2016', '2017', '2017', '2017', '2018', '2019', '2019', '2020', '2020', '2020', '2021', '2021', '2021', '2022', '2022']}"
#4,Adam,Forshaw,0,0,Central Midfield,,€2.00m,€5.00m,"Feb 27, 2018","Oct 8, 1991",Liverpool,England,175,England,right,Leeds United,"Jan 18, 2018","Jun 30, 2023","Jan 14, 2022","{'season': ['17/18', '14/15', '14/15', '12/13', '11/12', '11/12', '09/10'], 'transfer_date': ['Jan 18, 2018', 'Jan 28, 2015', 'Sep 1, 2014', 'Jul 1, 2012', 'Mar 1, 2012', 'Feb 1, 2012', 'Jul 1, 2009'], 'leaving_club': ['Middlesbrough', 'Wigan', 'Brentford', 'Everton U21', 'Brentford', 'Everton Res.', 'Everton U18'], 'joining_club': ['Leeds', 'Middlesbrough', 'Wigan', 'Brentford', 'Everton Res.', 'Brentford', 'Everton Res.'], 'market_value': ['€3.00m', '€2.00m', '€2.00m', '-', '-', '-', '-'], 'fee': ['€5.10m', '€2.67m', '€3.80m', 'free transfer', 'End of loan', 'loan transfer', '-']}","{'club': ['Brentford FC', 'Brentford FC', 'Brentford FC', 'Brentford FC', 'Middlesbrough FC', 'Middlesbrough FC', 'Middlesbrough FC', 'Middlesbrough FC', 'Middlesbrough FC', 'Middlesbrough FC', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United'], 'market_value': ['Є75Th.', 'Є150Th.', 'Є250Th.', 'Є2.00m', 'Є2.50m', 'Є2.50m', 'Є2.25m', 'Є2.25m', 'Є3.00m', 'Є3.00m', 'Є5.00m', 'Є5.00m', 'Є5.00m', 'Є4.00m', 'Є3.20m', 'Є3.20m', 'Є2.50m', 'Є2.00m', 'Є2.00m', 'Є2.00m'], 'age': ['20', '21', '22', '22', '23', '23', '24', '24', '25', '25', '26', '26', '27', '28', '28', '29', '29', '29', '30', '30'], 'date': ['Sep 15', 'Feb 11', 'Mar 28', 'Aug 19', 'Feb 24', 'Sep 24', 'Apr 20', 'Aug 1', 'Feb 20', 'Jun 28', 'Feb 27', 'Sep 24', 'Jun 28', 'Feb 27', 'Apr 8', 'Oct 13', 'Mar 18', 'Jun 8', 'Dec 23', 'Jun 15'], 'year': ['2012', '2013', '2014', '2014', '2015', '2015', '2016', '2016', '2017', '2017', '2018', '2018', '2019', '2020', '2020', '2020', '2021', '2021', '2021', '2022']}"
#8,Marc,Roca,2,7,Defensive Midfield,,€12.00m,€30.00m,"Jun 11, 2019","Nov 26, 1996",Vilafranca del Penedès,Spain,184,Spain,left,Leeds United,"Jul 1, 2022","Jun 30, 2026",unknown,"{'season': ['22/23', '20/21', '16/17', '15/16', '13/14', '12/13'], 'transfer_date': ['Jul 1, 2022', 'Oct 4, 2020', 'Jul 1, 2016', 'Jul 1, 2015', 'Jul 1, 2013', 'Jul 1, 2012'], 'leaving_club': ['Bayern Munich', 'Espanyol', 'RCD Espanyol B', 'Espanyol U19', 'Espanyol U18', 'Espanyol Youth'], 'joining_club': ['Leeds', 'Bayern Munich', 'Espanyol', 'RCD Espanyol B', 'Espanyol U19', 'Espanyol U18'], 'market_value': ['€7.00m', '€16.00m', '-', '-', '-', '-'], 'fee': ['€12.00m', '€9.00m', '-', '-', '-', '-']}","{'club': ['RCD Espanyol Barcelona', 'RCD Espanyol Barcelona', 'RCD Espanyol Barcelona', 'RCD Espanyol Barcelona', 'RCD Espanyol Barcelona', 'RCD Espanyol Barcelona', 'RCD Espanyol Barcelona', 'RCD Espanyol Barcelona', 'RCD Espanyol Barcelona', 'RCD Espanyol Barcelona', 'RCD Espanyol Barcelona', 'RCD Espanyol Barcelona', 'RCD Espanyol Barcelona', 'Bayern Munich', 'Bayern Munich', 'Bayern Munich', 'Bayern Munich', 'Bayern Munich', 'Bayern Munich', 'Leeds United'], 'market_value': ['Є250Th.', 'Є1.00m', 'Є1.00m', 'Є2.00m', 'Є1.00m', 'Є800Th.', 'Є1.50m', 'Є10.00m', 'Є12.00m', 'Є20.00m', 'Є30.00m', 'Є20.00m', 'Є16.00m', 'Є16.00m', 'Є12.00m', 'Є10.00m', 'Є8.00m', 'Є7.00m', 'Є7.00m', 'Є12.00m'], 'age': ['19', '19', '20', '20', '21', '21', '21', '21', '22', '22', '22', '23', '23', '23', '24', '24', '24', '25', '25', '25'], 'date': ['Aug 1', 'Oct 27', 'Jan 24', 'Jun 5', 'Jan 1', 'May 30', 'Sep 7', 'Oct 1', 'Dec 21', 'Feb 28', 'Jun 11', 'Dec 20', 'Apr 8', 'Oct 8', 'Feb 10', 'Jun 9', 'Oct 7', 'Dec 22', 'Jun 9', 'Sep 15'], 'year': ['2016', '2016', '2017', '2017', '2018', '2018', '2018', '2018', '2018', '2019', '2019', '2019', '2020', '2020', '2021', '2021', '2021', '2021', '2022', '2022']}"
#12,Tyler,Adams,1,19,Defensive Midfield,,€17.00m,€20.00m,"Feb 10, 2021","Feb 14, 1999","Wappingers Falls, New York",United States,175,United States,right,Leeds United,"Jul 6, 2022","Jun 30, 2027",unknown,"{'season': ['22/23', '18/19', '16/17', '15/16', '15/16', '14/15'], 'transfer_date': ['Jul 6, 2022', 'Jan 1, 2019', 'Nov 30, 2016', 'Mar 26, 2016', 'Nov 3, 2015', 'Mar 19, 2015'], 'leaving_club': ['RB Leipzig', 'New York RB', 'NY Red Bulls II', 'New York RB', 'NY Red Bulls II', 'NYRB Academy'], 'joining_club': ['Leeds', 'RB Leipzig', 'New York RB', 'NY Red Bulls II', 'New York RB', 'NY Red Bulls II'], 'market_value': ['€17.00m', '€4.50m', '€50Th.', '€50Th.', '-', '-'], 'fee': ['€17.00m', '€2.63m', 'End of loan', 'loan transfer', '-', '-']}","{'club': ['New York Red Bulls', 'New York Red Bulls', 'New York Red Bulls', 'New York Red Bulls', 'New York Red Bulls', 'New York Red Bulls', 'New York Red Bulls', 'RB Leipzig', 'RB Leipzig', 'RB Leipzig', 'RB Leipzig', 'RB Leipzig', 'RB Leipzig', 'RB Leipzig', 'RB Leipzig', 'RB Leipzig', 'RB Leipzig'], 'market_value': ['Є50Th.', 'Є100Th.', 'Є500Th.', 'Є800Th.', 'Є800Th.', 'Є1.00m', 'Є4.50m', 'Є13.00m', 'Є13.00m', 'Є11.50m', 'Є14.00m', 'Є16.00m', 'Є20.00m', 'Є20.00m', 'Є20.00m', 'Є17.00m', 'Є17.00m'], 'age': ['17', '17', '18', '18', '19', '19', '19', '20', '20', '21', '21', '21', '21', '22', '22', '23', '23'], 'date': ['Mar 1', 'Dec 15', 'May 24', 'Dec 5', 'May 2', 'Aug 15', 'Dec 15', 'Jun 5', 'Dec 17', 'Apr 8', 'Jul 8', 'Sep 16', 'Feb 10', 'Jun 9', 'Dec 22', 'Mar 24', 'Jun 9'], 'year': ['2016', '2016', '2017', '2017', '2018', '2018', '2018', '2019', '2019', '2020', '2020', '2020', '2021', '2021', '2021', '2022', '2022']}"
#37,Cody,Drameh,0,1,Right-Back,,€3.00m,€3.00m,"May 13, 2022","Dec 8, 2001",London,England,175,"England,The Gambia",right,Leeds United,"Jul 1, 2021","Jun 30, 2024",unknown,"{'season': ['21/22', '21/22', '21/22', '20/21', '19/20', '18/19'], 'transfer_date': ['May 31, 2022', 'Jan 12, 2022', 'Jul 1, 2021', 'Aug 13, 2020', 'Jul 1, 2019', 'Jul 1, 2018'], 'leaving_club': ['Cardiff', 'Leeds', 'Leeds U21', 'Fulham U21', 'Fulham U18', 'Fulham Youth'], 'joining_club': ['Leeds', 'Cardiff', 'Leeds', 'Leeds U21', 'Fulham U21', 'Fulham U18'], 'market_value': ['€3.00m', '€1.00m', '-', '-', '-', '-'], 'fee': ['End of loan', 'loan transfer', '-', '€440Th.', '-', '-']}","{'club': ['Leeds United', 'Cardiff City'], 'market_value': ['Є1.00m', 'Є3.00m'], 'age': ['20', '20'], 'date': ['Dec 23', 'May 13'], 'year': ['2021', '2022']}"
#15,Stuart,Dallas,3,56,Right-Back,,€3.00m,€4.00m,"Jun 8, 2021","Apr 19, 1991",Cookstown,Northern Ireland,183,Northern Ireland,right,Leeds United,"Aug 4, 2015","Jun 30, 2024","Jul 2, 2021","{'season': ['15/16', '13/14', '13/14', '12/13'], 'transfer_date': ['Aug 4, 2015', 'Dec 23, 2013', 'Oct 5, 2013', 'Jul 1, 2012'], 'leaving_club': ['Brentford', 'Northampton', 'Brentford', 'Crusaders'], 'joining_club': ['Leeds', 'Brentford', 'Northampton', 'Brentford'], 'market_value': ['€350Th.', '€50Th.', '€50Th.', '-'], 'fee': ['€1.90m', 'End of loan', 'loan transfer', '?']}","{'club': ['Brentford FC', 'Brentford FC', 'Brentford FC', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United'], 'market_value': ['Є50Th.', 'Є250Th.', 'Є350Th.', 'Є1.25m', 'Є1.50m', 'Є1.50m', 'Є2.50m', 'Є2.50m', 'Є2.50m', 'Є2.00m', 'Є2.00m', 'Є2.00m', 'Є3.00m', 'Є2.40m', 'Є3.00m', 'Є3.00m', 'Є4.00m', 'Є4.00m', 'Є4.00m', 'Є3.00m'], 'age': ['21', '23', '23', '24', '25', '25', '25', '25', '26', '26', '27', '28', '28', '28', '29', '29', '30', '30', '31', '31'], 'date': ['Oct 17', 'Aug 19', 'Feb 24', 'Sep 24', 'Apr 20', 'Jun 1', 'Sep 1', 'Feb 27', 'Sep 18', 'Feb 27', 'Sep 24', 'Jun 28', 'Feb 27', 'Apr 8', 'Oct 13', 'Mar 18', 'Jun 8', 'Dec 23', 'Jun 15', 'Sep 15'], 'year': ['2012', '2014', '2015', '2015', '2016', '2016', '2016', '2017', '2017', '2018', '2018', '2019', '2020', '2020', '2020', '2021', '2021', '2021', '2022', '2022']}"
#2,Luke,Ayling,0,0,Right-Back,,€3.00m,€5.00m,"Mar 18, 2021","Aug 25, 1991",London,England,183,England,right,Leeds United,"Aug 11, 2016","Jun 30, 2023","Oct 1, 2019","{'season': ['16/17', '14/15', '10/11', '09/10', '09/10', '09/10'], 'transfer_date': ['Aug 11, 2016', 'Jul 8, 2014', 'Jul 1, 2010', 'May 31, 2010', 'Mar 17, 2010', 'Jul 1, 2009'], 'leaving_club': ['Bristol City', 'Yeovil Town', 'Arsenal Res.', 'Yeovil Town', 'Arsenal Res.', 'Arsenal U18'], 'joining_club': ['Leeds', 'Bristol City', 'Yeovil Town', 'Arsenal Res.', 'Yeovil Town', 'Arsenal Res.'], 'market_value': ['€500Th.', '€450Th.', '€300Th.', '€300Th.', '€1.00m', '-'], 'fee': ['€870Th.', '?', 'free transfer', 'End of loan', 'loan transfer', '-']}","{'club': ['Yeovil Town', 'Yeovil Town', 'Yeovil Town', 'Bristol City', 'Bristol City', 'Bristol City', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United'], 'market_value': ['Є300Th.', 'Є400Th.', 'Є450Th.', 'Є450Th.', 'Є500Th.', 'Є500Th.', 'Є750Th.', 'Є1.00m', 'Є1.00m', 'Є1.50m', 'Є1.50m', 'Є2.00m', 'Є2.50m', 'Є3.00m', 'Є2.40m', 'Є3.50m', 'Є5.00m', 'Є5.00m', 'Є4.00m', 'Є4.00m', 'Є3.00m'], 'age': ['18', '21', '22', '23', '24', '24', '25', '25', '26', '26', '27', '27', '27', '28', '28', '29', '29', '29', '30', '30', '31'], 'date': ['Apr 21', 'Jul 12', 'Jan 8', 'Feb 27', 'Sep 24', 'Apr 20', 'Sep 1', 'Feb 27', 'Sep 18', 'Feb 27', 'Sep 24', 'Feb 27', 'Jun 28', 'Feb 27', 'Apr 8', 'Oct 13', 'Mar 18', 'Jun 8', 'Dec 23', 'Jun 15', 'Sep 15'], 'year': ['2010', '2013', '2014', '2015', '2015', '2016', '2016', '2017', '2017', '2018', '2018', '2019', '2019', '2020', '2020', '2020', '2021', '2021', '2021', '2022', '2022']}"
#25,Rasmus,Kristensen,0,10,Right-Back,,€15.00m,€15.00m,"Mar 11, 2022","Jul 11, 1997",Brande,Denmark,187,Denmark,right,Leeds United,"Jul 1, 2022","Jun 30, 2027",unknown,"{'season': ['22/23', '19/20', '17/18', '15/16', '14/15'], 'transfer_date': ['Jul 1, 2022', 'Jul 19, 2019', 'Jan 23, 2018', 'Jan 1, 2016', 'Jul 1, 2014'], 'leaving_club': ['RB Salzburg', 'Ajax', 'FC Midtjylland', 'Midtjylland U19', 'FCM Youth'], 'joining_club': ['Leeds', 'RB Salzburg', 'Ajax', 'FC Midtjylland', 'Midtjylland U19'], 'market_value': ['€15.00m', '€2.50m', '€1.75m', '-', '-'], 'fee': ['€13.00m', '€5.00m', '€5.50m', '-', '-']}","{'club': ['FC Midtjylland', 'FC Midtjylland', 'FC Midtjylland', 'FC Midtjylland', 'FC Midtjylland', 'Ajax Amsterdam', 'Ajax Amsterdam', 'Ajax Amsterdam', 'Ajax Amsterdam', 'Ajax Amsterdam', 'Red Bull Salzburg', 'Red Bull Salzburg', 'Red Bull Salzburg', 'Red Bull Salzburg', 'Red Bull Salzburg', 'Red Bull Salzburg', 'Red Bull Salzburg', 'Red Bull Salzburg', 'Red Bull Salzburg', 'Red Bull Salzburg'], 'market_value': ['Є400Th.', 'Є600Th.', 'Є700Th.', 'Є1.50m', 'Є1.75m', 'Є3.00m', 'Є3.00m', 'Є2.00m', 'Є2.50m', 'Є2.50m', 'Є3.00m', 'Є4.00m', 'Є3.20m', 'Є4.00m', 'Є7.00m', 'Є8.50m', 'Є12.00m', 'Є13.00m', 'Є15.00m', 'Є15.00m'], 'age': ['19', '19', '19', '19', '20', '20', '20', '21', '21', '21', '22', '22', '22', '23', '23', '23', '24', '24', '24', '24'], 'date': ['Aug 12', 'Dec 12', 'Mar 27', 'Jun 21', 'Dec 18', 'Mar 27', 'Jun 12', 'Oct 4', 'Dec 28', 'Jun 12', 'Sep 3', 'Dec 16', 'Apr 8', 'Jul 22', 'Dec 21', 'May 26', 'Sep 6', 'Dec 16', 'Mar 11', 'May 27'], 'year': ['2016', '2016', '2017', '2017', '2017', '2018', '2018', '2018', '2018', '2019', '2019', '2019', '2020', '2020', '2020', '2021', '2021', '2021', '2022', '2022']}"
#33,Leo Fuhr,Hjelde,0,5,Left-Back,,€800Th.,€800Th.,"Jun 15, 2022","Aug 26, 2003",Nottingham,England,188,"Norway,England",left,Leeds United U21,"Aug 27, 2021","Jun 30, 2025",unknown,"{'season': ['21/22', '20/21', '20/21', '20/21', '19/20'], 'transfer_date': ['Aug 27, 2021', 'May 17, 2021', 'Jan 22, 2021', 'Jul 1, 2020', 'Jul 29, 2019'], 'leaving_club': ['Celtic B', 'Ross County', 'Celtic B', 'Celtic U18', 'Rosenborg BK Yo'], 'joining_club': ['Leeds U21', 'Celtic B', 'Ross County', 'Celtic B', 'Celtic U18'], 'market_value': ['€300Th.', '-', '-', '-', '-'], 'fee': ['?', 'End of loan', 'loan transfer', '-', '?']}","{'club': ['Celtic FC B', 'Leeds United U21'], 'market_value': ['Є300Th.', 'Є800Th.'], 'age': ['17', '18'], 'date': ['Jun 24', 'Jun 15'], 'year': ['2021', '2022']}"
